Data	C.C	Ó
02-25	1	0
02-26	1	0
02-27	1	0
02-28	1	0
02-29	2	0
03-01	2	0
03-02	2	0
03-03	2	0
03-04	3	0
03-05	8	0
03-06	13	0
03-07	19	0
03-08	25	0
03-09	25	0
03-10	34	0
03-11	52	0
03-12	77	0
03-13	98	0
03-14	121	0
03-15	176	0
03-15	191	0
03-15	200	0
03-16	234	0
03-17	290	1
03-17	291	1
03-18	428	4
03-18	529	4
03-19	635	7
03-19	647	7
03-20	650	7
03-20	651	7
03-20	654	7
03-20	819	11
03-20	904	11
03-20	970	11
03-21	977	11
03-21	1,021	12
03-21	1,021	18
03-21	1,128	18
03-21	1,178	18
03-22	1,546	25
03-23	1,604	25
03-23	1,619	25
03-23	1,620	25
03-23	1,629	25
03-23	1,696	25
03-23	1,891	34
03-23	1,924	34
03-24	1,960	34
03-24	1,965	34
03-24	1,967	34
03-24	1,980	34
03-24	2,100	46
03-24	2,201	46
03-24	2,247	46
03-25	2,271	47
03-25	2,274	47
03-25	2,297	48
03-25	2,433	57
03-25	2,554	59
03-26	2,563	60
03-26	2,598	63
03-26	2,611	63
03-27	2,985	77
03-27	2,988	77
03-27	2,991	77
03-27	3,417	92
03-27	3,477	93
03-28	3,904	111
03-28	3,904	114
03-29	4,256	136
03-30	4,316	139
03-30	4,330	140
03-30	4,371	141
03-30	4,579	159
03-30	4,630	163
03-30	4,661	165
03-31	4,681	167
03-31	4,685	168
03-31	4,715	168
03-31	4,725	168
03-31	5,717	201
04-01	5,812	202
04-01	5,812	203
04-01	5,861	203
04-01	5,908	204
04-01	5,923	206
04-01	6,836	240
04-01	6,880	242
04-01	6,931	244
04-02	6,932	247
04-02	7,011	250
04-02	7,031	252
04-02	7,910	299
04-02	8,044	324
04-02	8,066	327
04-03	8,076	327
04-03	8,076	329
04-03	8,165	332
04-03	8,229	343
04-03	9,056	359
04-03	9,194	363
04-04	9,216	365
04-04	9,391	376
04-05	10,360	445
04-05	10,431	446
04-05	10,475	448
04-05	10,568	455
04-05	10,627	460
04-05	11,130	486
04-05	11,254	486
04-05	11,281	487
04-06	11,298	489
04-06	11,494	495
04-06	11,516	506
04-06	11,721	516
04-06	12,056	553
04-06	12,161	564
04-06	12,183	564
04-06	12,232	566
04-07	12,240	566
04-07	12,345	581
04-07	12,377	582
04-07	12,632	588
04-07	14,018	686
04-07	14,034	686
04-07	14,049	688
04-08	14,072	691
04-08	14,152	699
04-08	15,927	800
04-09	16,188	820
04-09	16,195	822
04-09	16,238	823
04-09	16,474	839
04-09	17,857	941
04-09	18,092	950
04-09	18,145	954
04-10	18,176	957
04-10	18,397	974
04-10	19,638	1,057
04-10	19,789	1,068
04-10	19,943	1,074
04-11	20,022	1,075
04-11	20,962	1,140
04-12	20,964	1,141
04-12	20,984	1,141
04-12	21,042	1,144
04-12	21,065	1,144
04-12	22,192	1,223
04-12	22,318	1,230
04-13	22,318	1,241
04-13	22,720	1,269
04-13	22,720	1,270
04-13	23,430	1,328
04-13	23,723	1,355
04-14	23,830	1,355
04-14	23,955	1,361
04-14	24,169	1,378
04-14	24,232	1,378
04-14	24,920	1,489
04-14	25,262	1,532
04-15	25,684	1,552
04-15	25,758	1,557
04-15	26,113	1,590
04-15	28,320	1,736
04-15	28,610	1,757
04-15	28,746	1,757
04-15	28,912	1,760
04-16	29,015	1,760
04-16	29,165	1,764
04-16	29,214	1,769
04-16	30,425	1,924
04-17	30,891	1,952
04-17	33,682	2,141
04-17	34,221	2,171
04-19	38,654	2,462
04-20	39,144	2,484
04-20	39,548	2,507
04-21	40,814	2,588
04-21	43,079	2,741
04-22	43,368	2,761
04-22	45,757	2,906
04-22	46,182	2,924
04-23	46,348	2,934
04-23	46,701	2,940
04-23	49,492	3,313
04-23	50,036	3,331
04-24	51,073	3,407
04-24	52,995	3,670
04-25	54,043	3,704
04-25	55,224	3,762
04-25	58,616	4,016
04-25	58,997	4,037
04-26	59,324	4,057
04-26	59,479	4,062
04-26	60,311	4,117
04-26	61,888	4,205
04-26	62,787	4,268
04-26	62,859	4,271
04-26	63,100	4,286
04-27	63,328	4,298
04-27	66,501	4,543
04-28	67,446	4,603
04-28	68,289	4,683
04-28	71,886	5,017
04-28	72,899	5,063
04-28	73,235	5,083
